ID,Kieli,Lekseemi,Sanaluokka,Jatkoleksikko,Taivutustyyppi
4474,sms,täärmtõõvvi,A,A_PRSPRC-VVCC-I,X
4524,sms,suâvveei,A,A_PRSPRC-EEI,3
4533,sms,määŋgmåkksaž,A,A_MEERSAZH,1
4539,sms,leeppteei,A,A_PRSPRC-EEI,3
4570,sms,loŋŋteei,A,A_PRSPRC-EEI,3
4571,sms,älšsmõʹtti,A,A_PRSPRC-VCC-I,X
4596,sms,tuäʹŋǧǧ,A,A_CHUAQRVV,1
4630,sms,čoʹrǧǧes,A,A-ATTR_,X
4705,sms,suâllǥääǥǥaž,A,A_KUYLAZH,3
4712,sms,moderneei,A,A_PRSPRC-EEI,3
4762,sms,muuʹttʼtem,A,A_NALLSHEM,1
4763,sms,muuʹttʼteʹm,A,A_NALLSHEM,1
4764,sms,mottjeteʹm,A,A_NALLSHEM,1
4765,sms,mottjetem,A,A_NALLSHEM,1
4796,sms,rääckteei,A,A_PRSPRC-EEI,3
4805,sms,ǩeâllriõssâm,A,A_AANAR,2
4816,sms,veäskai,A,A_SAELTTAI,X
4817,sms,veäskas,A,A-ATTR_,X
4819,sms,rännʼjeei,A,A_PRSPRC-EEI,3
4836,sms,ååskteei,A,A_PRSPRC-EEI,3
4850,sms,väʹlddtõõvvi,A,A_PRSPRC-VVCC-I,X
4882,sms,äʹštteei,A,A_PRSPRC-EEI,3
4883,sms,sträššjeei,A,A_PRSPRC-EEI,3
4884,sms,akkeei,A,A_PRSPRC-EEI,3
4901,sms,jeällʼjeei,A,A_PRSPRC-EEI,3
4923,sms,tåimmai,A,A_PRSPRC-VXYY-AI,X
4931,sms,njeekkteei,A,A_PRSPRC-EEI,3
4948,sms,säuʹrr,A,A_JAUQRR,1
4949,sms,reʹttev,A,A_AANAR,2
4950,sms,viiššlõs,A,A-ATTR_,X
4956,sms,mourri,A,A_PRSPRC-VXYY-I,X
4957,sms,hõrršeei,A,A_PRSPRC-EEI,3
4958,sms,rååkkai,A,A_PRSPRC-VVKK-AI,X
4968,sms,lääʹmes,A,A_KAAQMES,X
4969,sms,vâkksõs,A,A-ATTR_,X
4970,sms,vâkkas,A,A_,X
4991,sms,rååʹđab,A,A_IS_ADJ-DER/COMP_ab,X
4992,sms,fââʹstab,A,A_IS_ADJ-DER/COMP_ab,X
5041,sms,jiiʹjjesväärrlaž,A,A_MEERSAZH,1
5074,sms,kemiaalʼlaž,A,A_MEERSAZH,1
5095,sms,liiđeei,A,A_PRSPRC-EEI,3
5097,sms,mââjaž,A,A_KUYLAZH,3
5101,sms,läittlõs,A,A_SAJOS,1
5105,sms,suelnas,A,A-ATTR_,X
5106,sms,sueʹlnai,A,A_SAELTTAI,X
5110,sms,korppai,A,A_,X
5111,sms,ruuiʹbjam,A,A_IS-ACT-PRFPRC,X
5132,sms,reäkkai,A,A_PRSPRC-VWKK-AI,X
5133,sms,rieʹǩǩjes,A,A-ATTR_,X
5152,sms,lååʹvteʹm,A,A_NALLSHEM,1
5153,sms,lååʹvtem,A,A_NALLSHEM,1
5164,sms,jõkk,A,A_PAPP,1
5165,sms,liõtt,A,A_,X
5182,sms,tuâjjtõʹtti,A,A_PRSPRC-VCC-I,X
5202,sms,pââʹjjnallšem,A,A_NALLSHEM,1
5266,sms,kueʹncces,A,A-ATTR_,X
5274,sms,šõʹlles,A,A-ATTR_,X
5295,sms,muõʹrri,A,A_JIOQNNI,X
5299,sms,veäʹlččai,A,A_,X
5300,sms,juârbbai,A,A_PRSPRC-VWXYY-AI,X
5301,sms,veälččai,A,A_PRSPRC-VWXYY-AI,X
5302,sms,vieʹlččõs,A,A-ATTR_,X
5303,sms,veäʹlččõs,A,A-ATTR_,X
5304,sms,šmoiggi,A,A_PRSPRC-VXYY-I,X
5314,sms,lååʹvmeâldlaž,A,A_MEERSAZH,1
5348,sms,toobdâs,A,A_JOOSKYS,X
5365,sms,čuõʹlddi,A,A_,X
5366,sms,čuõʹlddes,A,A-ATTR_,X
5392,sms,käʹvvlõs,A,A-ATTR_,X
5393,sms,moodrõs,A,A-ATTR_,X
5394,sms,käʹvvel,A,A_AANAR,2
5395,sms,vellai,A,A_SAELTTAI,X
5406,sms,njiimmiâkksaž,A,A_MEERSAZH,1
5414,sms,kuõʹddi,A,A_PRSPRC-VWCCC-I,X
5532,sms,kuästtjam,A,A_,X
5561,sms,pâššneei,A,A_PRSPRC-EEI,3
5571,sms,ǩeäppeei,A,A_PRSPRC-EEI,3
5572,sms,occneei,A,A_PRSPRC-EEI,3
5576,sms,kõinni,A,A_PRSPRC-VXYY-I,X
5592,sms,tiõrvvsallaš,A,A_TOBDDSALLASH,X
5631,sms,peivvsaž,A,A_MEERSAZH,1
5663,sms,šääjjai,A,A_PRSPRC-VVCC-AI,X
5664,sms,šääiʹjeei,A,A_PRSPRC-EEI,3
5671,sms,kudd,A,A_,X
5699,sms,tuõlbâs,A,A_VUOIVYS,2
5700,sms,bleʹtǩǩ,A,A_KHEQRJJ,1
5702,sms,rääʹssvarddsaž,A,A_MEERSAZH,1
5722,sms,veârtem,A,A_NALLSHEM,1
5723,sms,veârteʹm,A,A_NALLSHEM,1
5727,sms,sõõmeei,A,A_PRSPRC-EEI,3
5728,sms,kaaǯǯeei,A,A_PRSPRC-EEI,3
5734,sms,pännai,A,A_SAELTTAI,X
5743,sms,läähhlõʹtti,A,A_PRSPRC-VCC-I,X
5760,sms,reggsummus,A,A_IS_ADJ-DER/SUPERL_ummus,X
5778,sms,torkki,A,A_PRSPRC-VXYY-I,X
5833,sms,päšttjeei,A,A_PRSPRC-EEI,3
5857,sms,vaajtõõlli,A,A_PRSPRC-VVCC-I,X
5858,sms,mutstõõlli,A,A_PRSPRC-VVCC-I,X
5866,sms,väiʹmmlõs,A,A-ATTR_,X
5867,sms,väiʹmmel,A,A_AANAR,2
5888,sms,hieʹnn,A,A_HIEAQNN,X
5889,sms,heäʹnes,A,A-ATTR_,X
5895,sms,tuõđâš,A,A_,X
5896,sms,tuõttšõs,A,A-ATTR_,X
5917,sms,cõggâmnallšem,A,A_NALLSHEM,1
5958,sms,miõckâs,A,A_VUOIVYS,2
5962,sms,ǩiõptti,A,A_PRSPRC-VWXYY-I,X
5978,sms,ǩiõbrnʼjõõvvi,A,A_PRSPRC-VVCC-I,X
5979,sms,ǩiõbrnʼjeei,A,A_PRSPRC-EEI,3
5983,sms,õhttvuässaž,A,A_KUYLAZH,3
5985,sms,kaʹlljââǥaž,A,A_KUYLAZH,3
5990,sms,viõrri,A,A_PRSPRC-VWCC-I,X
6013,sms,seämmaeunnsaž,A,A_MEERSAZH,1
6030,sms,ǩeâškuum,A,A_PSS-PRFPRC,X
6050,sms,kooumnallšem,A,A_NALLSHEM,1
6060,sms,põʹstti,A,A_PRSPRC-VXYY-I,X
6061,sms,staan,A,A_PLAAN,X
6080,sms,meäʹrteteʹm,A,A_NALLSHEM,1
6081,sms,meäʹrtetem,A,A_NALLSHEM,1
6101,sms,ǩiõrddâl,A,A_AANAR,2
6105,sms,čääʹʒʒvuâlaž,A,A_KUYLAZH,3
6107,sms,messneei,A,A_PRSPRC-EEI,3
6145,sms,skõõreei,A,A_PRSPRC-EEI,3
6151,sms,sõʹttes,A,A-ATTR_,X
6152,sms,sõtti,A,A_,X
6186,sms,smiâhhai,A,A_SAELTTAI,X
6187,sms,smieʹhhes,A,A-ATTR_,X
6196,sms,aʹrmmjeejas,A,A-ATTR_,X
6198,sms,häiʹttjeei,A,A_PRSPRC-EEI,3
6223,sms,njuârggai,A,A_PRSPRC-VWXYY-AI,X
6224,sms,njuõʹrǧǧes,A,A-ATTR_,X
6255,sms,cuckki,A,A_PRSPRC-VXYY-I,X
6286,sms,ââlaž,A,A_KUYLAZH,3
6334,sms,hõʹrmmes,A,A-ATTR_,X
6335,sms,strääʹšnõs,A,A-ATTR_,X
6336,sms,hõrmmi,A,A_,X
6338,sms,vuõss,A,A_,X
6339,sms,puõʹtti,A,A_PRSPRC-VWCC-I,X
6354,sms,voʹsttjeei,A,A_PRSPRC-EEI,3
6391,sms,šäkkas,A,A-ATTR_,X
6413,sms,koccum,A,A_PSS-PRFPRC,X
6439,sms,eunnai,A,A_SAELTTAI,X
6454,sms,äiggai,A,A_PRSPRC-VXYY-AI,X
6455,sms,meinnai,A,A_PRSPRC-VXYY-AI,X
6476,sms,meâhttlõs,A,A-ATTR_,X
6477,sms,meâhttal,A,A_,X
6479,sms,straaŋgtem,A,A_NALLSHEM,1
6480,sms,lääiʹjteʹm,A,A_NALLSHEM,1
